,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Sección,Componente,Descripción,Fase,,,,,,,,,,,,,,,,,,,,,
,Portal de nutrición,Vista experto - en servicio,"El experto al tener al menos un usuario registrado lo verá en esta sección, verá un listado de usuarios en forma de tabla o tarjetas, podrá buscar usuarios por diferentes filtros. Siempre se podrán a los usuarios nuevos que no sea ha creado su plan al inicio de la list",1,,,,,,,,,,,,,,,,,,,,,
,Portal de nutrición,Vista experto - Detalle del usuario,"El experto podrá ver el plan alimenticio actual del usuario si tiene, el perfil con datos básicos del usuario, las respuestas al formulario del portal de suscripción, historial clínico y nutrimental. También tendrá la capacidad de modificar su plan actual si tiene o agregar un nuevo plan alimenticio. También podrá dar de baja al usuario (aplican reglas de baja)",1,,,,,,,,,,,,,,,,,,,,,
,Portal de nutrición,Vista experto - Métricas de negocio," Verá métricas representativas en forma de cards: Servicios no creados y nuevos, Servicios pendientes de renovación, planes alimenticios en alerta por que está por renovarse el plan y se está esperando las nuevas evidencias del usuario, Servicios en espera de pago por parte del usuario, Servicios cancelados por el usuario, Servicios cancelados por el experto, Servicios por suntUS, servicios con peticiones de cambios, servicios activos. Al dar click en cualquier métrica, el listado de usuarios se filtrará por la métrica elegida",2,,,,,,,,,,,,,,,,,,,,,
,Portal de nutrición,Vista experto - Métricas globales,"El experto en planes avanzados desbloqueados o comprados podrá tener acceso a métricas generales en toda la base de datos. Solo podrá consultar las métricas que suntUS defina como viables para consulta, con el fin que el experto genere campañas, estrategias y modelos de negocio para su servicio ofrecido. Podrá comparar algunos indicadores contra uno o hasta 3 perfiles de otros expertos del giro elegido",2,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista de usuario - blank page,Si el usuario no se ha suscrito a un plan deportivo será un blank page nutrimental donde será redirigido al portal directorio y aplicará un filtro de búsqueda de entrenadores deportivos,1,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista de usuario - en progreso,"Si el usuario está suscrito a un plan deportivo pero el experto no ha emitido el plan, verá un  in progress. Habrá un botón deshabilitado con una leyenda ""48 horas restantes cancelar"" Si el botón se habilita el usuario podrá cancelar, se le regresará su depósito, se notificará al experto de la cancelación y afectará su ranking en el portal directorio",1,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista de usuario - plan emitido,"El experto al diseñar su plan deportivo, el usuario podrá ver un calendario L-D con el detalle de los ejericios, repeticiones, sets, videos explicativos de ejecución, etc. Según el plan alcanzado o comprado por el experto el usuario podrá acceder o no a ciertas características, como chat en tiempo real, cambio de ejercicios, alternativas, etc.",1,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista experto - blank page,"Si el experto no tiene usuarios registrados, verá un botón de cambio de plan para mejorar su posicionamiento en el portal de directorio",1,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista experto - en servicio,"El experto al tener al menos un usuario registrado lo verá en esta sección, verá un listado de usuarios en forma de tabla o tarjetas, podrá buscar usuarios por diferentes filtros. Siempre se podrán a los usuarios nuevos que no sea ha creado su plan al inicio de la lista",1,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista experto - Detalle del usuario,"El experto podrá ver el plan deportivo actual del usuario si tiene, el perfil con datos básicos del usuario, las respuestas al formulario del portal de suscripción, historial clínico y deportivo. También tendrá la capacidad de modificar su plan actual si tiene o agregar un nuevo plan deportivo. También podrá dar de baja al usuario (aplican reglas de baja)",1,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista experto - Métricas de negocio," Verá métricas representativas en forma de cards: Servicios no creados y nuevos, Servicios pendientes de renovación, planes deportivos en alerta por que está por renovarse el plan y se está esperando las nuevas evidencias del usuario, Servicios en espera de pago por parte del usuario, Servicios cancelados por el usuario, Servicios cancelados por el experto, Servicios por suntUS, servicios con peticiones de cambios, servicios activos. Al dar click en cualquier métrica, el listado de usuarios se filtrará por la métrica elegida",2,,,,,,,,,,,,,,,,,,,,,
